image,status,conflict_method,docling_easyocr_preprocessed__chars,docling_qwen3-vlm-4B_preprocessed__chars,charsim__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,jaccard__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,min_charsim,mean_charsim,min_jaccard,mean_jaccard
pages-2-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,6,39,0.2667,0.0,0.2667,0.2667,0.0,0.0
pages-2-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,373,814,0.2831,0.2056,0.2831,0.2831,0.2056,0.2056
pages-3-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1276,1344,0.2885,0.5588,0.2885,0.2885,0.5588,0.5588
pages-3-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,927,1184,0.1952,0.2655,0.1952,0.1952,0.2655,0.2655
pages-4-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1081,1250,0.1399,0.4286,0.1399,0.1399,0.4286,0.4286
pages-4-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1076,1185,0.0142,0.3354,0.0142,0.0142,0.3354,0.3354
pages-5-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,999,1180,0.0716,0.3702,0.0716,0.0716,0.3702,0.3702
pages-5-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1068,1181,0.249,0.5029,0.249,0.249,0.5029,0.5029
pages-6-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,863,1105,0.064,0.3409,0.064,0.064,0.3409,0.3409
pages-6-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1209,1282,0.0779,0.5824,0.0779,0.0779,0.5824,0.5824
pages-7-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,905,1141,0.0323,0.3224,0.0323,0.0323,0.3224,0.3224
pages-7-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1062,1193,0.306,0.4368,0.306,0.306,0.4368,0.4368
pages-8-a,BLANK,,0,78,0.0,0.0,0.0,0.0,0.0,0.0
pages-8-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1370,1567,0.0436,0.5794,0.0436,0.0436,0.5794,0.5794
pages-9-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3034,4111,0.0235,0.3633,0.0235,0.0235,0.3633,0.3633
pages-9-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3381,4035,0.2767,0.5032,0.2767,0.2767,0.5032,0.5032
pages-10-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3123,4001,0.0879,0.4278,0.0879,0.0879,0.4278,0.4278
pages-10-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3474,4125,0.085,0.4942,0.085,0.085,0.4942,0.4942
pages-11-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1564,1845,0.0428,0.5682,0.0428,0.0428,0.5682,0.5682
pages-11-b,MISSING,docling_easyocr_preprocessed,0,71,0.0,0.0,0.0,0.0,0.0,0.0
pages-12-a,MISSING,docling_easyocr_preprocessed,0,125,0.0,0.0,0.0,0.0,0.0,0.0
pages-12-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1907,3110,0.0279,0.4268,0.0279,0.0279,0.4268,0.4268
pages-13-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1262,1423,0.3933,0.6865,0.3933,0.3933,0.6865,0.6865
pages-13-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3373,3934,0.1681,0.5,0.1681,0.1681,0.5,0.5
pages-14-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1619,2482,0.1136,0.3333,0.1136,0.1136,0.3333,0.3333
pages-14-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1385,1583,0.1206,0.5845,0.1206,0.1206,0.5845,0.5845
pages-15-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1585,2089,0.0272,0.4006,0.0272,0.0272,0.4006,0.4006
pages-15-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1708,1955,0.0202,0.552,0.0202,0.0202,0.552,0.552
pages-16-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1013,1682,0.0631,0.3218,0.0631,0.0631,0.3218,0.3218
pages-16-b,MISSING,docling_easyocr_preprocessed,0,50,0.0,0.0,0.0,0.0,0.0,0.0
pages-17-a,BLANK,,0,206,0.0,0.0,0.0,0.0,0.0,0.0
pages-17-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1410,1636,0.0571,0.6245,0.0571,0.0571,0.6245,0.6245
pages-18-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1143,1817,0.0236,0.3622,0.0236,0.0236,0.3622,0.3622
pages-18-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1021,1731,0.0545,0.3407,0.0545,0.0545,0.3407,0.3407
pages-19-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1802,2367,0.023,0.3944,0.023,0.023,0.3944,0.3944
pages-19-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1663,2541,0.0471,0.3761,0.0471,0.0471,0.3761,0.3761
pages-20-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1322,114,0.0919,0.0258,0.0919,0.0919,0.0258,0.0258
pages-20-b,MATCH,,24,24,1.0,1.0,1.0,1.0,1.0,1.0
pages-21-a,BLANK,,0,149,0.0,0.0,0.0,0.0,0.0,0.0
pages-21-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1529,1726,0.129,0.4359,0.129,0.129,0.4359,0.4359
